Designator,Mid X,Mid Y,Rotation,Layer
D1,149.0707,-86.9696,0.0,top
D10,149.0707,-100.6856,0.0,top
D11,149.0726,-108.3056,180.0,top
D12,149.0726,-106.7816,180.0,top
D13,149.0707,-105.2576,180.0,top
D14,149.0726,-103.7336,180.0,top
D15,149.0726,-102.2096,180.0,top
D16,149.0707,-109.8296,0.0,top
D17,149.0707,-111.3536,0.0,top
D18,149.0707,-112.8776,0.0,top
D19,149.0707,-114.4016,0.0,top
D2,149.0707,-88.4936,0.0,top
D20,149.0707,-115.9256,0.0,top
D21,149.0707,-117.4496,0.0,top
D3,149.0707,-90.0176,0.0,top
D4,149.0707,-91.5416,0.0,top
D5,149.0707,-93.0656,0.0,top
D6,149.0707,-94.5896,0.0,top
D7,149.0707,-96.1136,0.0,top
D8,149.0707,-97.6376,0.0,top
D9,149.0707,-99.1616,0.0,top
J1,130.871,-90.7142,0.0,top
J2,161.351,-90.7142,0.0,top
R1,145.6671,-86.9696,0.0,top
R10,145.6671,-100.6856,0.0,top
R11,145.669,-108.3056,180.0,top
R12,145.669,-106.7816,180.0,top
R13,145.6671,-105.2576,180.0,top
R14,145.669,-103.7336,180.0,top
R15,145.669,-102.2096,180.0,top
R16,145.6671,-109.8296,0.0,top
R17,145.6671,-111.3536,0.0,top
R18,145.6671,-112.8776,0.0,top
R19,145.6671,-114.4016,0.0,top
R2,145.6671,-88.4936,0.0,top
R20,145.6671,-115.9256,0.0,top
R21,145.6671,-117.4496,0.0,top
R3,145.6671,-90.0176,0.0,top
R4,145.6671,-91.5416,0.0,top
R5,145.6671,-93.0656,0.0,top
R6,145.6671,-94.5896,0.0,top
R7,145.6671,-96.1136,0.0,top
R8,145.6671,-97.6376,0.0,top
R9,145.6671,-99.1616,0.0,top
