Designator,Mid X,Mid Y,Rotation,Layer
C1,137.2351,-94.4383,0.0,top
C2,137.2351,-95.9877,0.0,top
C3,139.7508,-95.2511,90.0,top
C4,132.1308,-104.394,180.0,top
C5,132.1308,-105.8672,180.0,top
D1,133.8072,-99.3394,-90.0,top
D4,136.8806,-92.0496,0.0,top
IC1,143.383,-101.6254,0.0,top
IC2,148.4122,-106.2228,90.0,top
J1,142.4432,-112.8324,0.0,top
J2,125.9478,-85.4602,0.0,top
J3,156.4278,-85.4602,0.0,top
J4,152.0698,-85.1154,0.0,top
J5,138.9126,-85.1154,0.0,top
Q1,152.0717,-94.3102,0.0,top
Q2,147.5251,-94.3102,180.0,top
R1,149.7349,-91.8718,0.0,top
R11,153.0858,-104.8766,180.0,top
R2,149.8111,-96.7486,180.0,top
R3,153.0858,-101.8032,0.0,top
R4,135.4328,-105.8672,0.0,top
R5,150.6201,-102.4128,-90.0,top
R6,145.1102,-106.6546,0.0,top
R7,149.1215,-102.4128,-90.0,top
R8,139.065,-106.6546,180.0,top
R9,133.4786,-92.0496,180.0,top
Rd,153.0858,-103.3272,180.0,top
S1,133.5532,-112.7172,-90.0,top
S2,151.3078,-112.7506,90.0,top
